baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.921725,-0.0209154,0.302146,-0.0966012,-0.138297,0.688698
0.921337,-0.0190193,0.301052,-0.0985086,-0.136956,0.689118
0.921638,-0.0197339,0.301401,-0.0982599,-0.137744,0.689539
0.921247,-0.0184387,0.300992,-0.0992411,-0.135966,0.6885
0.921223,-0.0183144,0.301071,-0.0991017,-0.136626,0.687585
0.988116,-0.14793,0.30983,0.0294298,-0.185558,0.74532
0.986899,-0.142027,0.307863,0.024294,-0.18298,0.744274
0.98611,-0.140856,0.308484,0.0213561,-0.182759,0.74295
0.984872,-0.140616,0.311095,0.0210635,-0.184265,0.740735
0.984883,-0.140726,0.310891,0.0203827,-0.18476,0.740548
0.927166,0.0775871,0.199127,-0.187382,-0.0578218,0.746516
0.926646,0.0777507,0.197895,-0.187482,-0.0575662,0.748122
0.9267,0.0776326,0.198463,-0.186546,-0.0564345,0.748999
0.926422,0.0780933,0.197499,-0.187442,-0.0575499,0.749514
0.926423,0.0775992,0.196549,-0.186887,-0.0577318,0.746181
0.843771,0.0282888,0.160049,-0.132337,0.0200458,0.703908
0.841947,0.0292265,0.158283,-0.133068,0.022751,0.704607
0.842301,0.027794,0.156425,-0.131836,0.0243856,0.704394
0.842714,0.0278592,0.157559,-0.13218,0.0236524,0.704247
0.84202,0.0289064,0.157379,-0.132846,0.0238588,0.704867
0.774263,-0.0152331,0.155087,-0.0890873,0.0651249,0.649377
0.77417,-0.0158543,0.151969,-0.0891706,0.0689337,0.650143
0.773973,-0.0151269,0.151889,-0.0881926,0.0693258,0.651278
0.7742,-0.0157324,0.152628,-0.088236,0.0690634,0.650965
0.773996,-0.0153069,0.151686,-0.089056,0.0685828,0.65093
0.842942,-0.111001,0.100053,0.00541357,0.0713881,0.739836
0.843535,-0.11075,0.0991213,0.00497122,0.0717534,0.74102
0.844796,-0.111602,0.0981706,0.00717051,0.0714384,0.74301
0.844449,-0.1092,0.0967395,0.00475199,0.0724357,0.742236
0.84437,-0.109146,0.0979383,0.00486482,0.0728597,0.743353
0.885338,0.202624,0.0772382,-0.313341,0.0763702,0.77837
0.883385,0.202592,0.0738483,-0.313032,0.0762568,0.776486
0.883931,0.20224,0.0745851,-0.311909,0.0790806,0.778405
0.884733,0.200672,0.0743671,-0.311878,0.0795148,0.783439
0.88525,0.201058,0.0761421,-0.309547,0.0759679,0.775943
0.845004,0.0711737,0.156962,-0.172093,0.0165492,0.701838
0.844638,0.0731747,0.158031,-0.173423,0.0173522,0.699788
0.844731,0.0725534,0.156887,-0.17362,0.0173309,0.700192
0.843831,0.0724881,0.155467,-0.173596,0.018135,0.700666
0.844443,0.0719969,0.155664,-0.173458,0.0180188,0.700135
