baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.780293,-0.371585,0.0936103,-0.0798517,-0.37945,2.07062
0.780037,-0.370586,0.0933432,-0.0777519,-0.383601,2.081
0.779522,-0.370497,0.0927241,-0.078617,-0.378274,2.07444
1.02994,-0.216447,0.24044,-0.160789,-0.351391,1.75266
1.03063,-0.217039,0.241632,-0.167756,-0.361813,1.75035
1.01925,0.168721,0.19553,0.0859205,-0.173,1.52936
1.01916,0.168879,0.1956,0.0843642,-0.177797,1.53122
0.79823,0.103681,0.0568272,0.215979,-0.151155,1.76599
0.800673,0.0479766,0.120689,0.177473,-0.224034,1.77172
0.800503,0.0482614,0.120903,0.17762,-0.225358,1.77267
0.80027,0.0487349,0.119905,0.174857,-0.223758,1.77333
1.02723,-0.0187484,0.390958,-0.025959,-0.417265,1.54081
1.02679,-0.016787,0.389721,-0.0328431,-0.416008,1.53438
1.02706,-0.0174529,0.39014,-0.0292656,-0.416599,1.53485
1.02696,-0.016743,0.389481,-0.0247995,-0.415769,1.54027
1.02659,-0.0161258,0.389442,-0.0302014,-0.422119,1.53697
1.09026,-0.086501,0.384205,-0.124097,-0.414725,1.56108
1.09022,-0.0867819,0.385191,-0.122753,-0.414347,1.5585
1.09009,-0.0860314,0.384484,-0.122364,-0.412969,1.55768
1.08979,-0.0851621,0.385405,-0.122387,-0.417305,1.55566
1.08998,-0.0854442,0.384399,-0.123174,-0.415886,1.55818
1.12115,-0.170054,0.36636,-0.201132,-0.420848,1.60549
1.1211,-0.168626,0.365699,-0.200328,-0.418108,1.60522
1.12109,-0.169167,0.36618,-0.201756,-0.420812,1.6056
1.12101,-0.168281,0.366139,-0.199293,-0.417774,1.60552
1.12081,-0.167671,0.366217,-0.200519,-0.421049,1.60275
1.13821,-0.290152,0.359747,-0.299133,-0.455609,1.68135
1.1012,-0.312261,0.357477,-0.287023,-0.471286,1.72425
1.10155,-0.313659,0.357599,-0.286974,-0.471878,1.72657
1.10161,-0.312577,0.357375,-0.287497,-0.470099,1.71901
1.10174,-0.312231,0.357518,-0.286422,-0.471132,1.721
1.10153,-0.311822,0.357995,-0.286944,-0.470214,1.7199
1.12908,-0.460761,0.370841,-0.412226,-0.525317,1.80094
1.12964,-0.461975,0.369466,-0.411699,-0.525751,1.79967
1.1295,-0.462133,0.370165,-0.411557,-0.524839,1.79571
1.12948,-0.461452,0.370469,-0.41273,-0.525314,1.80077
1.12951,-0.462143,0.369097,-0.412753,-0.526135,1.80151
1.03488,-0.422206,0.226216,-0.308248,-0.418035,1.90712
1.03479,-0.421514,0.227095,-0.304509,-0.413882,1.89707
1.03494,-0.421483,0.226672,-0.307346,-0.419218,1.90118
1.03519,-0.421689,0.227353,-0.306659,-0.413869,1.90259
0.987541,-0.323215,0.1732,-0.202933,-0.347463,1.88867
0.98777,-0.322561,0.173729,-0.202905,-0.345667,1.88861
0.987674,-0.322912,0.173522,-0.203146,-0.345464,1.89322
0.982379,-0.174885,0.0996154,-0.0975302,-0.228737,1.83448
0.955385,-0.297867,0.161702,-0.158288,-0.344316,1.89051
0.955387,-0.298986,0.161573,-0.16152,-0.33944,1.8919
0.997161,-0.167281,0.117101,-0.102941,-0.233616,1.80222
0.987374,-0.144791,0.205379,-0.0868503,-0.306611,1.76081
0.987441,-0.144826,0.204696,-0.0878393,-0.307493,1.75524
0.987293,-0.144378,0.204886,-0.0869533,-0.306543,1.75163
0.987406,-0.145117,0.205353,-0.0872443,-0.305154,1.75532
0.928762,-0.05176,0.214798,0.0129969,-0.299464,1.72267
0.929442,-0.0529896,0.214053,0.0121778,-0.298777,1.72385
0.929082,-0.0530772,0.215017,0.0112784,-0.297081,1.72086
0.929065,-0.0524418,0.215065,0.0106053,-0.298365,1.72114
