baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.780328,-0.369857,0.0928543,0.95849,-0.840519,2.31645
1.10113,-0.312314,0.357825,-0.576496,-0.371836,1.26097
1.10167,-0.312224,0.35784,-0.571497,-0.372735,1.26129
1.10164,-0.312225,0.3582,-0.577686,-0.370604,1.25845
1.10172,-0.311882,0.357871,-0.573612,-0.369917,1.25695
1.10171,-0.310666,0.356275,-0.572934,-0.370481,1.26172
1.12963,-0.459486,0.368888,-0.646771,-0.29731,1.14524
1.13015,-0.460005,0.367154,-0.647373,-0.298647,1.14706
1.13025,-0.458694,0.368386,-0.644796,-0.29805,1.14933
1.13041,-0.457819,0.368032,-0.643494,-0.298895,1.15149
1.13035,-0.455965,0.36812,-0.643339,-0.299943,1.14981
1.03465,-0.420522,0.227108,-0.698283,-0.23989,1.30666
1.03662,-0.420159,0.225946,-0.697366,-0.241208,1.31157
1.03664,-0.419664,0.226193,-0.696781,-0.239161,1.3046
1.03698,-0.420421,0.228749,-0.698238,-0.238305,1.30642
1.03705,-0.418246,0.229855,-0.695433,-0.242338,1.30686
0.986979,-0.323452,0.174027,-0.671819,-0.263799,1.42457
0.987456,-0.323435,0.173768,-0.674371,-0.260731,1.42408
0.987786,-0.318963,0.173522,-0.671236,-0.262803,1.42749
0.987723,-0.321425,0.174307,-0.673886,-0.263254,1.42878
0.955351,-0.296142,0.16093,-0.679239,-0.279897,1.4612
0.956056,-0.300446,0.158381,-0.683103,-0.277155,1.46616
0.955741,-0.300268,0.159327,-0.682715,-0.276041,1.45687
0.955486,-0.300366,0.159012,-0.68458,-0.276595,1.46377
0.867546,-0.0063291,0.165147,-0.571252,-0.458139,1.67619
